ind,ind_t,date,adr,p,n_killed,n_injured,city,state,LON,LAT,case,summary,age_of_shooter,prior_signs_mental_health_issues,mental_health_details,weapons_obtained_legally,where_obtained,weapon_type,weapon_details,race,gender,mental_health_sources,sources_additional_age,type,log_n_killed,log_n_injured,indegree,outdegree
63,39,2014-04-20,2902 N. 32nd St. Tampa Florida,1.0986122886681096,2,2,Tampa,Florida,-82.4252178,27.9693738,,,,,,,,,,,,,,,1.0986122886681098,1.0986122886681098,1,4
64,39,2014-04-20,1300 block of Jackson St Montgomery Illinois,0.583773044716594,0,6,Montgomery,Illinois,-88.31043170000002,41.7302378,,,,,,,,,,,,,,,0.0,1.9459101490553128,2,2
65,40,2014-04-22,6419 Brynhurst Avenue Los Angeles California,0.9010913347279288,1,3,Los Angeles,California,-118.3342778,33.981092700000005,,,,,,,,,,,,,,,0.6931471805599453,1.3862943611198906,2,3
66,41,2014-04-25,2000 Chelsea Avenue Memphis Tennessee,1.184916910403644,2,3,Memphis,Tennessee,-89.9906671,35.173437299999996,,,,,,,,,,,,,,,1.0986122886681098,1.3862943611198906,0,7
67,42,2014-04-27,Fourth Street Troy New York,0.5375278407684164,0,5,Troy,New York,-73.6911982,42.721338700000004,,,,,,,,,,,,,,,0.0,1.791759469228055,5,2
68,43,2014-04-29,1675 Airport Road Kennesaw Georgia,1.0689760711085556,1,6,Kennesaw,Georgia,-84.6019546,34.0087685,,,,,,,,,,,,,,,0.6931471805599453,1.9459101490553128,2,6
69,44,2014-04-30,7200 South Phillips Avenue Chicago Illinois,0.4828313737302301,0,4,Chicago,Illinois,-87.56576740000001,41.7644081,,,,,,,,,,,,,,,0.0,1.6094379124341005,7,0
70,45,2014-05-03,2201 Moore Rd Jonesboro Arkansas,1.6094379124341005,4,4,Jonesboro,Arkansas,-90.6155684,35.81834310000001,,,,,,,,,,,,,,,1.6094379124341005,1.6094379124341005,0,10
71,46,2014-05-04,12100 W 44th Wheat Ridge Colorado,0.4828313737302301,0,4,Wheat Ridge,Colorado,-105.1342557,39.77748629999999,,,,,,,,,,,,,,,0.0,1.6094379124341005,5,0
72,46,2014-05-04,500 West Erie Street Chicago Illinois,0.9010913347279288,1,3,Chicago,Illinois,-87.64144089999998,41.89389439999999,,,,,,,,,,,,,,,0.6931471805599453,1.3862943611198906,3,5
73,47,2014-05-10,Shamrock Dr Decatur Georgia,1.184916910403644,2,3,Decatur,Georgia,-84.2573284,33.730861700000005,,,,,,,,,,,,,,,1.0986122886681098,1.3862943611198906,1,7
74,47,2014-05-10,1100 To Lani Farm Road Stone Mountain Georgia,0.9010913347279288,1,3,Stone Mountain,Georgia,-84.2056446,33.7621635,,,,,,,,,,,,,,,0.6931471805599453,1.3862943611198906,3,5
75,47,2014-05-10,3031 Guadalajara Way Sacramento California,1.0689760711085556,1,6,Sacramento,California,-121.52484550000001,38.6240965,,,,,,,,,,,,,,,0.6931471805599453,1.9459101490553128,2,7
76,48,2014-05-11,2517 Shasta Memphis Tennessee,0.6238324625039507,0,7,Memphis,Tennessee,-89.97327949999998,35.168766399999996,,,,,,,,,,,,,,,0.0,2.079441541679836,6,3
77,49,2014-05-12,3400 West 24th Street Chicago Illinois,0.4828313737302301,0,4,Chicago,Illinois,-87.710006,41.84806920000001,,,,,,,,,,,,,,,0.0,1.6094379124341005,7,0
78,50,2014-05-13,Panther Trail and Childress Drive Atlanta Georgia,0.5375278407684164,0,5,Atlanta,Georgia,-84.486189,33.698155,,,,,,,,,,,,,,,0.0,1.791759469228055,6,1
79,51,2014-05-17,2200 block of Adams Place NE Washington District of Columbia,0.5375278407684164,0,5,Washington,District of Columbia,-76.97487989999998,38.9192532,,,,,,,,,,,,,,,0.0,1.791759469228055,6,1
