ind,ind_t,date,adr,p,n_killed,n_injured,city,state,LON,LAT,log_n_killed,log_n_injured
151,98,2014-08-02,Penn Avenue and 29th Street Pittsburgh Pennsylvania,1.022730867160378,1,5,Pittsburgh,Pennsylvania,-79.97419909999998,40.4578461,0.6931471805599453,1.791759469228055
152,98,2014-08-02,Acushnet Avenue New Bedford Massachusetts,0.6238324625039507,0,7,New Bedford,Massachusetts,-70.9262267,41.6871658,0.0,2.0794415416798357
153,98,2014-08-02,5125 Wynell Street Dallas Texas,1.178350206951907,3,1,Dallas,Texas,-96.7824651,32.6858171,1.3862943611198906,0.6931471805599453
154,99,2014-08-03,East 9th Street and Bridge Street Columbia Tennessee,0.5375278407684164,0,5,Columbia,Tennessee,-87.02980749999998,35.61170200000001,0.0,1.791759469228055
155,99,2014-08-03,5200 block of Thekla  Saint Louis Missouri,0.5375278407684164,0,5,Saint Louis,Missouri,-90.2433765,38.69043920000001,0.0,1.791759469228055
156,99,2014-08-03,3403 FM 1960 Humble Texas,0.6238324625039507,0,7,Humble,Texas,-95.2662184,30.004894,0.0,2.0794415416798357
157,99,2014-08-03,14458 Rixeyville Rd Culpeper Virginia,1.2542316284596384,5,0,Culpeper,Virginia,-77.991824,38.500222,1.791759469228055,0.0
158,100,2014-08-04,1100 block of Joseph E. Boone Boulevard NW Atlanta Georgia,0.5375278407684164,0,5,Atlanta,Georgia,-84.42353410000003,33.763481,0.0,1.791759469228055
159,101,2014-08-06,1700 block of Quincy Street  Bakersfield California,1.178350206951907,3,1,Bakersfield,California,-118.97414840000002,35.38163270000001,1.3862943611198906,0.6931471805599453
160,102,2014-08-08,3426 Vassar NE Albuquerque New Mexico,0.9010913347279288,1,3,Albuquerque,New Mexico,-106.614901,35.1194254,0.6931471805599453,1.3862943611198906
161,102,2014-08-08,Second Street and Todd Place NE Washington District of Columbia,0.48283137373023005,0,4,Washington,District of Columbia,-77.00122549999998,38.9135345,0.0,1.6094379124341003
162,102,2014-08-08,3000 block of N. 28th Street  Milwaukee Wisconsin,0.48283137373023005,0,4,Milwaukee,Wisconsin,-87.9483186,43.0735079,0.0,1.6094379124341003
